alpha,rank,node,score,node_label
1.0,9,cbdfe8f8b33545ef44b4965fa6d2cd4,812.0,ba709cf3cee4e50bb7c2f35bd5f6088
1.0,10,78d15ba833cf540baf73439626a3ab0,795.0,c492269338a9662bb6c29858e8cdaf0
1.0,11,a6a0ba5336ca3c41b0ea658e1960c34,741.0,4d3c2780592f8da75c04ae1ec2acf82
1.0,12,52a2de2ba70338b97f2ee31cfdd19da,738.0,7c5d183434884809dcf48b600154794
1.0,13,0ed015299d4dbef69fa5f6b8d70a9d7,735.0,d6ee9b882cf47399d658ee96536354f
1.0,14,de820db42926b17b057cc7516017427,698.0,c1b294d4fc442cab1938c321467d46e
1.0,15,2f10b599c24d49830a3ae1f07eb6cc6,674.0,697f933343b126a5285a45e62cbb29b
1.0,16,393c2b6a4668d8832b04fcdbf810002,673.0,635384a0bb45d4bdbc14b74a12d4d83
1.0,17,c41f78e6d801cd6d2336facd3ada846,671.0,d7afa383019a95f520ef98f6e85dba9
1.0,18,868c4cc977fd96e30c0d52a8a51bc9a,610.0,d6f4c4a284ea0089474f71a79b6eb8d
1.0,19,6b815766a19bcfd8f805043978b4b08,610.0,dd868e289c27446496024ccc85e215c
1.0,20,2c6917d4f8ffae2cc97a38b0d9bc0af,601.0,773bb37e7194c7e5d508a5a560b7cd9
1.5,1,999246518573af4b1756e96b5da8c15,2416.1557362654207,e91fc738f7c2969b5693bd5a3b6a7e2
1.5,2,5570fb689528e01c515604476fead7b,2191.7947759562144,4f11b5ae12b263cd102af2fb53c6e59
1.5,3,126c0412a08a77cd21d1321d32b4a30,2057.1451206255606,faa5436acf21229165219bdf2a15ae1
1.5,4,511d6385b5d2b26cb65e6f4c95c66e0,1634.827862756526,0101227188b0a94ee84c4c570a3fe21
1.5,5,79eb33248a8ff285909d4e4d7221c00,1499.8958175058626,cff2f8b492fd60699f4c0efcd3c18e3
1.5,6,d92b9d59861f8c5412e13df58f688b6,1322.727839623958,e3a2c4e68206caf3f58668cf81af3dd
1.5,7,e1f602a771f4428666359b90524e4bd,1079.071915929955,1461367cc91b837e1b6547abe83c1ee
1.5,8,a36b87b046f6a351668f1684778c29c,938.5034735211802,4f05e6cfb0149168f7ac243c657dd38
1.5,9,52a2de2ba70338b97f2ee31cfdd19da,909.4239935255723,7c5d183434884809dcf48b600154794
1.5,10,cbdfe8f8b33545ef44b4965fa6d2cd4,874.5507646786435,ba709cf3cee4e50bb7c2f35bd5f6088
1.5,11,78d15ba833cf540baf73439626a3ab0,861.5021361413278,c492269338a9662bb6c29858e8cdaf0
1.5,12,a6a0ba5336ca3c41b0ea658e1960c34,819.3906423388512,4d3c2780592f8da75c04ae1ec2acf82
1.5,13,393c2b6a4668d8832b04fcdbf810002,813.1527473086047,635384a0bb45d4bdbc14b74a12d4d83
1.5,14,0ed015299d4dbef69fa5f6b8d70a9d7,790.1370940276698,d6ee9b882cf47399d658ee96536354f
1.5,15,de820db42926b17b057cc7516017427,774.4468265318287,c1b294d4fc442cab1938c321467d46e
1.5,16,2f10b599c24d49830a3ae1f07eb6cc6,723.4556484081627,697f933343b126a5285a45e62cbb29b
1.5,17,c41f78e6d801cd6d2336facd3ada846,709.5910923435647,d7afa383019a95f520ef98f6e85dba9
1.5,18,6b815766a19bcfd8f805043978b4b08,673.0942639954325,dd868e289c27446496024ccc85e215c
1.5,19,868c4cc977fd96e30c0d52a8a51bc9a,665.8245006193449,d6f4c4a284ea0089474f71a79b6eb8d
1.5,20,253ff534cf4a7f5bf72bfc471acd56c,642.5341562905431,d7f50fb1710aa33ec34e1ea4525be31
2.0,1,999246518573af4b1756e96b5da8c15,2829.7666223404253,e91fc738f7c2969b5693bd5a3b6a7e2
2.0,2,5570fb689528e01c515604476fead7b,2596.7374810318665,4f11b5ae12b263cd102af2fb53c6e59
2.0,3,126c0412a08a77cd21d1321d32b4a30,2430.698476343224,faa5436acf21229165219bdf2a15ae1
2.0,4,511d6385b5d2b26cb65e6f4c95c66e0,1774.6760563380283,0101227188b0a94ee84c4c570a3fe21
2.0,5,79eb33248a8ff285909d4e4d7221c00,1646.9161518093558,cff2f8b492fd60699f4c0efcd3c18e3
2.0,6,d92b9d59861f8c5412e13df58f688b6,1522.7231833910034,e3a2c4e68206caf3f58668cf81af3dd
2.0,7,e1f602a771f4428666359b90524e4bd,1194.252512562814,1461367cc91b837e1b6547abe83c1ee
2.0,8,16132b6bf5925382fadf8bd611c82a3,1166.6851851851852,13c40ce0c0e9ff1a2a9a57f2477e8a4
2.0,9,52a2de2ba70338b97f2ee31cfdd19da,1120.6666666666667,7c5d183434884809dcf48b600154794
2.0,10,c6db33485fb82095b30f6d301fd70e5,1008.0645161290322,d77f2766084a9e0048605d87eaf13d6
2.0,11,a36b87b046f6a351668f1684778c29c,991.8792452830188,4f05e6cfb0149168f7ac243c657dd38
2.0,12,393c2b6a4668d8832b04fcdbf810002,982.4924078091107,635384a0bb45d4bdbc14b74a12d4d83
2.0,13,cbdfe8f8b33545ef44b4965fa6d2cd4,941.92,ba709cf3cee4e50bb7c2f35bd5f6088
2.0,14,78d15ba833cf540baf73439626a3ab0,933.5672082717873,c492269338a9662bb6c29858e8cdaf0
2.0,15,fa83d7a19cb15276f48037e9a39d3ac,913.78125,21026c378eaf4ad3fac76c24fb4ce16
2.0,16,a6a0ba5336ca3c41b0ea658e1960c34,906.0742574257425,4d3c2780592f8da75c04ae1ec2acf82
2.0,17,de820db42926b17b057cc7516017427,859.2663139329806,c1b294d4fc442cab1938c321467d46e
2.0,18,0ed015299d4dbef69fa5f6b8d70a9d7,849.4103773584906,d6ee9b882cf47399d658ee96536354f
2.0,19,2f10b599c24d49830a3ae1f07eb6cc6,776.5401709401709,697f933343b126a5285a45e62cbb29b
2.0,20,c41f78e6d801cd6d2336facd3ada846,750.4016666666668,d7afa383019a95f520ef98f6e85dba9
